,base_market,quote_market,hedge_ratio,half_life
0,ICP-USD,UMA-USD,2.4728115526669994,8.0
1,ETC-USD,ZEC-USD,0.6612064937862497,10.0
2,ETC-USD,LINK-USD,1.331988064502091,16.0
3,ETC-USD,BCH-USD,0.08411086850328976,10.0
4,ETC-USD,CELO-USD,36.00064090431129,14.0
5,ETC-USD,ENJ-USD,69.1322987252997,14.0
6,ETC-USD,TRX-USD,188.21995386813126,12.0
7,ETC-USD,COMP-USD,0.3688831725279367,12.0
8,ETC-USD,XLM-USD,162.0708301485439,9.0
9,ETC-USD,XMR-USD,0.11786643927054116,13.0
10,ETC-USD,LTC-USD,0.2732024177261641,11.0
11,ETC-USD,AAVE-USD,0.20687044477161323,14.0
12,ETC-USD,1INCH-USD,53.90084761072844,10.0
13,ZEC-USD,ATOM-USD,3.2011070752079487,10.0
14,ZEC-USD,CELO-USD,54.44630084544997,6.0
15,ZEC-USD,ENJ-USD,104.55051256535401,11.0
16,ZEC-USD,FIL-USD,6.204842230966464,20.0
17,ZEC-USD,TRX-USD,284.6031921641035,7.0
18,ZEC-USD,XLM-USD,245.0633749117515,8.0
19,ZEC-USD,CRV-USD,50.55770110818934,8.0
20,ZEC-USD,LTC-USD,0.41312295748331723,4.0
21,ZEC-USD,ETH-USD,0.014517953011760489,15.0
22,LINK-USD,ENJ-USD,51.86870378619151,9.0
23,LINK-USD,XLM-USD,121.55132295369863,10.0
24,LINK-USD,CRV-USD,25.084012423661044,9.0
25,LINK-USD,1INCH-USD,40.43300777511596,8.0
26,ATOM-USD,CELO-USD,16.995516606764014,9.0
27,ATOM-USD,FIL-USD,1.9381701983395248,12.0
28,ATOM-USD,EOS-USD,13.082606197668914,8.0
29,BCH-USD,CELO-USD,427.9403737221355,12.0
30,BCH-USD,ENJ-USD,821.8340204394318,18.0
31,BCH-USD,TRX-USD,2236.738512805736,14.0
32,BCH-USD,COMP-USD,4.384977790780168,10.0
33,BCH-USD,XLM-USD,1926.6521800690793,6.0
34,BCH-USD,EOS-USD,329.3547550755287,14.0
35,BCH-USD,UMA-USD,128.95012324386445,21.0
36,BCH-USD,DOT-USD,43.57550954278164,20.0
37,BCH-USD,CRV-USD,397.29096128177576,21.0
38,BCH-USD,SOL-USD,4.047371068832297,23.0
39,BCH-USD,ETH-USD,0.11411629970248362,20.0
40,CELO-USD,FIL-USD,0.11395219358213479,19.0
41,CELO-USD,TRX-USD,5.225869688017172,8.0
42,CELO-USD,EOS-USD,0.7695032100794092,7.0
43,CELO-USD,DOT-USD,0.10183652678913208,8.0
44,ENJ-USD,TRX-USD,2.7193467064212204,14.0
45,ENJ-USD,XLM-USD,2.342481733159799,12.0
46,ENJ-USD,DOT-USD,0.052987053119540606,16.0
47,ENJ-USD,CRV-USD,0.48322563833700477,12.0
48,ENJ-USD,LTC-USD,0.003948727157745835,11.0
49,ENJ-USD,1INCH-USD,0.7791364388789038,9.0
50,FIL-USD,MATIC-USD,5.683963122539094,19.0
51,TRX-USD,CRV-USD,0.17759146952258942,8.0
52,TRX-USD,LTC-USD,0.00145085690665504,12.0
53,XLM-USD,EOS-USD,0.17093267683827013,10.0
54,XLM-USD,ALGO-USD,0.8944832853227392,24.0
55,XLM-USD,UMA-USD,0.06693778343050204,17.0
56,XLM-USD,DOT-USD,0.022618221674404516,13.0
57,XLM-USD,CRV-USD,0.20621299110421834,13.0
58,XLM-USD,LTC-USD,0.0016853749880614533,5.0
59,XLM-USD,1INCH-USD,0.33249769493068204,7.0
60,XLM-USD,ETH-USD,5.9230037476320374e-05,14.0
61,EOS-USD,DOT-USD,0.1323201789997786,8.0
62,XMR-USD,AAVE-USD,1.7552017161277798,11.0
63,XMR-USD,ETH-USD,0.0814656902218957,10.0
64,ADA-USD,BTC-USD,1.0180364055280147e-05,6.0
65,ADA-USD,AAVE-USD,0.003992376544400779,15.0
66,UMA-USD,BTC-USD,4.852513881225556e-05,13.0
67,UMA-USD,AAVE-USD,0.01903607896437147,12.0
68,UMA-USD,ETH-USD,0.0008837224843457256,13.0
69,BTC-USD,AAVE-USD,392.1173474005161,19.0
70,CRV-USD,LTC-USD,0.0081661176052684,11.0
71,CRV-USD,1INCH-USD,1.611393766788586,8.0
72,SOL-USD,DOGE-USD,734.582102101098,19.0
73,LTC-USD,1INCH-USD,197.27978024244615,6.0
74,AAVE-USD,ETH-USD,0.04636107129503982,11.0
75,1INCH-USD,ETH-USD,0.00017808575632504987,14.0
